Rome_W_3_3_23.txt,cat_3_3_22.txt,gauchy_3_3_22.txt,Sev_Z_3_3_23.txt,trevisa_3_3_23_orig.txt,Val_S_3_3_23.txt
nautae igitur debent se serio ordinare contra nauem hostium,donques se deuen ordonar o posar subtilment contra la nau dels enamichs e,et alors on doit ordonner sa nef encontre la nef de ses ennemis;,,þanne schip men scholde ordeyne som what agenst þe schip of enemyes,e los marineros deuen se assi ordenar sabiamente contra las naues de los enemigos
,,,,,que detras de la naue
et clam post tergum debent aliquem emittere diu valentem durare sub aquis qui accepto penetrali sub aquis debet accedere ad hostilem nauem et eam in profundo perforare faciendo ibi plura foramina quae foramina ab hostibus reperiri non poterunt cum per ipsa coeperit abundare aqua qua abundante et hostes et nauem periclitabit Sunt autem in bello nauali alia obseruanda ut sit ibi copia lapidum et etiam ferrorum acutorum,amagadament darrer ells deuen calar algun hom qui longament pusca durar o estar sots les aygües qui pres algun foradador o tribanella dejús les aygües deu se ajustar a la nau dels enamichs e foradar ella en lo fon faent aquí molts forats los quals forats no poran ésser reparats per los enamichs com l' aygua haurà començat habundar o entrar per ells la qual aygua habundant perirà a ensems la nau e ·lls enamichs Altres coses deuen ésser observades en la batayla naval axí com qui sia aquí còpia de pedres encara de ferres aguts,et par derriere on doit mettre un homme en l' eaue qui y puist durer longue espace et ait aucun instrument dont il puist la nef perchier et faire plusieurs treus par ou l' eaue y puist entrer,e estar y grand tiempo e deuenlos echar en pos las naues por que los no vean echar los enemigos E estos tales deuen leuar consigo taladores e foradar las naues de los enemigos de muchos forados E assi combatiendo quando no cuydaren meterlos han so el agua E avn deuen auer consigo muchas barras de fierro e muchas piedras,and sende oon byhynde pryueiliche þat may longe abyde vnder water and maþe hooles wik a gymelot oþer with an augeer in þe schip of enemyes in þe neþer side and maþe manye hooles þerinne þat þe enemyes may not fynde And whanne moche water comeþ in at þilþe hooles þe enemyes ben ilost and þe schip also Also it is to wetyng þat in a bataille of schippes scholde be manye stoones,e encubiertamente echen alguno o algunos en la mar que puedan y mucho estar e lieuen taladros para foradar e llegunen se a la naue de los enemigos so el agua e foraden la pordiuso · Et faziendo muchos forados los quales non podran los enemigos çercar quando entrare mucha agua dentro en la naue sabullira a los enemigos e a la naue todo en vno sola mar · Mas ay otras cosas que son de guardar en la batalla de las naues assy que ayan y muy grand conplimiento de piedras e e avn varras de fierro agudas
quae quasi lapides iaciuntur cum quibus hostes nimium offenduntur,los quals axí com a pedres són gitats ab los quals són molt agreugyats los enamichs,si soient les ennemis par ce grevez,para combatir los enemigos,and manye scharpe ires þat may be þrowe riʒt as stones wik þe whiche enemyes ben soone igreued,que lançen assi commo piedras de las quales resçiben grand daño los enemigos
Sed caetera talia quia nimis particularia sunt sub narratione non cadunt Sufficiant ergo cautelae quas tradidimus erga nauale bellum,Mas per tal com totes coses aytals són molt particulars no cahen sots narració basten donques les cauteles les quals nós havem donades envers la batayla naval,,E guardando bien todas las cautelas sobredichas podran vencer los enemigos,But þer ben so manye suche particuler doynges þat þei mowe not alle be ireþened Panne ben þer cautels inowe þat we hauen itauʒt touchinge batailles of schippes,· Mas estas otras tales cosas por que son muy particulares non las podemos contar por menudo ca cunple aquellas cautelas que auemos dadas cerca las batallas de las naues
Ostenso qualiter incidenda sunt ligna ex quibus construenda est nauis et quomodo bellandum est in nauali bello Reliquum est ut declaremus ad quid bella omnia ordinantur,Demostrat en qual manera los fusts dels quals deu ésser feta la nau degen ésser taylats e en qual manera deu hom bataylar en batayla naval roman que nós declarem a què són ordonades totes les batayles,Et en toutes ces X manieres peult on ses adversaires grandement grever comme scevent ceulz quy de battaille sont uzitez Maintenant dirons a quoy et pour quoy les battailles sont ordonnees:,La tercera cosa que nos conuiene de saber es a que son ordenadas todas las batallas tanbien las de la tierra como las de la mar E aqui conuiene de notar,For it is declared how treen and tymber scholde be feld of þe whiche schippes scholde be maad and how me scholde fiʒte in batailles of schippes it is to doynge þat we declare wherto aile batailles ben iordeyned,· Mostrado en qual manera es de taiar la madera para fazer las naues e en qual manera auemos de lidiar en la mar ·finca nos de mostra concluyendo e ençerrado razones aque son ordenadas todas las batallas tan bien las de la mar commo las de la tierra · Et
,,,,Panne it is to wetyng,
Sciendum ergo quod secundum philosophum non bellamus,Deu donques hom saber que segons lo philòsoph,si est a sçavoir que a ce propos le philozophe dist,lo que dize el philoso pho que nos no lidiamos,as þe philosofer meneþ þat we werryeth not,para esto saber conuiene de notar que segunt el philosofo non lidiamos
,nós no bataylam,,,,
ut bellemus sed ut pacem habeamus,per ço que guerregem mas per ço que nós hagyam pau,que on ne se doit combatre fors pour paix avoir mais il peult bien advenir,por querer lidiar mas por auer paz,for to haue werre but for to haue pees,por que lidiemos mas por que ayamos paz · Et
Potest ergo bellum ex nequitia hominum,donques bataylar per la malvestat dels hòmens,que les battailles aucuneffois par la maulveistié de la gent,E en dos maneras se puede fazer toda lid,And bataille and werre may be ordeyned of malice of men,pues que assi es la batalla e la maldat de los omnes
et ex cupiditate eorum ordinari ad lucrum vel ad aliquam aliam satifactionem irae,e per la cupiditat d' aquells pot ésser ordonada a plaer o a alguna altra satisfació de ira o de cobegyança,sont ordonnees pour aucunes muvaises convoitises ou adfin de appaisier le enorme courouz de la gent,o se faze por cobdicia de ganar algo o de vengarse de los enemigos,and by coueityse for to haue wynnynge oþer wreche for wrathe,o nasçen de cobdiçia e la ordena algunan ganançia o la ordena a alguna otra vengança de saña
vel concupiscentiae,emperò,,Mas,oþer som likynge,o de cobdiçia mundanal
Bella tamen si iuste gerantur,si les batayles són fetes justament,Mais se les battailles sont droiturieres,si la batalla es buena,But netful batailles ben iordeyned,· Et enpero las batallas sy derechamente las fezieren
et debite fiant ordinanda sunt ad pacem,e degudament elles deuen ésser ordonades a pau,elles doivent estre ordonnees a avoir paix,e derecha nunca se faze sino por auer paz,for pees,e las tomaren conueniblemente son de ordenar
et ad quietem hominum et ad commune bonum,e a concòrdia dels hòmens e a bé comú,et concorde entre la gent du peuple;,e asosiego e por bien comun,and quyete of men and for þe comune profit,·a paz e assossiego de los omnes e al bien comun ·ca
Nam sic se debent habere bella in societate hominum sicut se habent potiones,quar axí deuen ésser les batayles en la companya dels hòmens com los beuratges,car tout ainsi comme sainnie,Ca tales son las batallas entre los onbres como las purgas,for batailles scholde be among men as drenches,assi se deuen auer las batallas en la muchedunbre de los omnes commo se han los xaropes
et phlebotomiae in corpore humano Nam sicut in humano corpore sunt plures humores sic in conuersatione et societate hominum est dare plures personas,e les phlebothomies o les sangües en lo cos humanal quar axí com en los cos humanal són moltes humors axí en la conversació o en la companya dels hòmens cové donar moltes persones,et les autres medecines sont ordonnees a faire la santé du corpz de l' homme pareillement les batailles doivent estre ordonnees a faire paix et concorde entre les gens,e las sangrias entre los enfermos Ca assi,and blood letynge in þe bodye of mankynde For in þe bodye of man ben manye humours so among men ben manye persones,e las sangrias en el cuerpo del omen ·ca assi commo en el cuerpo del omne son muchos humores assi en la conuerssaçion e en la conpañia de los omnes ay muchas perssonas
et plures homines Et sicut quamdiu humores sunt aequati in corpore et non est ibi humorum excessus,e molts hòmens e axí com aytant com les humors són egualades en lo cos e no ha aquí sobre pugyament de humors nós no havem ops beuratge,Et tout ainsi comme nous veons que l' homme n' a mestier de sainnie ou medechine prendre ne de boire sirop quant les humeurs de son corps se concordent et sont egalles pareillement gens,como en el cuerpo del ombre son muchos humores e quando non estan desygualados,and manye men And as while þe humours ben accordynge in þe bodye vs nedeþ noþer drenche ne bledyng while þer is no passyng of humours,e muchos omens e assi commo mientra los humores son ygualados en el cuerpo del omne e non sobrepuia el vno sobre el otro
non indigemus potione nec phlebotomia,ne sanguia ne sagna axí,qui sont bien d' acord et conversent ensamble paisiblement,non es menester melezina ninguna nin sangria,,e non faze menester xarope nin sangria
sic quamdiu homines debite se habent,aytant com los hòmens han si mateix degudament,et avenamment,Assy quando los ombres se han bien los vnos con los otros,so while men beren hem wel,assi mientra los omnes estan ordenados commo deuen
et unus non iniuriatur alteri non sunt committenda bella,e la un no fa injúria a l' altre no deuen ésser fetes batayles perquè,et que l' un ne fait nul tort a l' autre n' ont mestier de battaille,e non se fazen tuerto los vnos a los otros no se deuen fazer guerras,and non doþ oþer wrong scholde no werre be noþer bataille,e el vno non faze tuerto al otro non ay porque auer batalla ninguna
Quare sicutper phlebotomiam et potionem superfluitas humorum est eiicienda per quam turbatur sanitas corporis sic per bella sunt hostes conculcandi,axí com per sanguia e per beuratge la sobrefluytat de les humors deu ésser foragitada per a qual és torbada la sanitat del cos axí per batayles los enamichs deuen ésser aterrats,Mais tout ainsi comme par saignier et prendre medecines ont plusieurs foiz les mauvaises humerus esté hors du corps gettees lesqueles empeschent la santé de l' homme pareillement par bataille on doit pugnir,Bien assy quando los humores estan bien ygualados no son menester las melezinas nin las sangrias,Wherfore as by bledynge and by drenches superfluyte of humours is iþrowe out þe whiche superfluyte letteþ heele of þe body so by batailles enemyes scholde be bore adoon,·Por la qual cosa assi commo por la sangria e por el xarope es cortada e taiada la superfluydat de los humores por la quase enbarga la salut del cuerpo assi por las batallas son los enemigos de taiar
et occidendi per quos impeditur commune bonum et pax ciuium,e morts per los quals és empatxat o robat lo bé comú e la pau dels ciutadans,et occire les mauvaiz adfin que le bien commun et la paix,E assy quando por los humores se turba la sanidad del cuerpo,and isleyne þat leiten þe comune profit and pees of citeseynes,e de cortar por los quales se enbarga el bien comun e la paz de los çibdadanos e de todos
,,,estonçes faze menester la sangria,,
,,et concorde de ceulz du paÿs soit augmentee,,,
,,et exilliés ceulz quy l' empeschent,,,
,,Il est a sçavoir,,,
et eorum qui sunt in regno,e d' aquells qui són en lo regne,que tous les enseignemens en quelque chose que soit,o la melezina para abaxarlos,and of hem þat ben in þe regne,los que son en el regno · Et
,,,,Panne gif kynges,
,,lesquelz nous avons faiz en ce present traitié,,,
,,ce est pour introduire,,,
,Supposat,,,,
,donques,,,,
,que,,,,
Supposito ergo Reges et Principes habere iustum bellum,·ls reys e ·ls prínceps hagen vista batyla o,et enseignier les rois et princes a gouverner eulz,Assy,and princes hauen riʒtful werre and bataille,pues que assi es puesto que los Reyes
et hostes eorum iniuste perturbare pacem et commune bonum,·ls enamichs lurs injustament torben la pau e ·l bé comú,et leurs paÿs droiturierement en bonne paix,como quando los onbres turban la paz,and ʒif here enemyes disturblen wrongfulliche þe pees and þe comyn profit,e los prinçipes ayan batalla derecha et los sus enemigos turben la paz e el bien comun a tuerto
non est inconueniens docere eos omnia genera bellandi et omnem modum per quem possint suos hostes vincere quod totum ordinare debent ad commune bonum et pacem ciuium Nam si intendant commune bonum et pacem ciuium,no és mal ensenyar a ells tos les maneres de bataylar e tota manera per la qual ells pusquen veure lurs enamichs la qual cosa tota deuen ordonar al bé comú e a la pau dels ciutadans quar si ells entenen o procuren lo bé comú e la pau dels ciutadans,justice et concorde; car roiz et princes droituriers doivent toutes choses faire selon raison a l' exauchement du bien commun et pour le proufit et salut du peuple avec la paix et transquilité des paÿs a la loenge de Dieu et de la glorieuse Vierge Marie nostre advocate Et se ainsi le font ilz acquerront la paix pardurable c' est la gloire du ciel,que es menester la guerra o la batalla para los abaxar E assy quando los reyes toman las guerras,it is not inconuenyent to teche hem al maner fiʒtynge of bataille and al maner doynge by þe whiche þei mow ouercome here enemyes And al suche doynge þei scholde ordeyne for þe comyn profit and for pees of citeseyns For gif þei desiren þe comyn profit and pees of þe citeseyns,non es cosa sin guisa que nos ensseñemos e demos doctrina a todos los prinçipes para saber todas las maneras de lidiar
,,en laquele a souverain repos,,,
merebuntur pacem illam aeternam in qua est suprema requies quam Deus ipse suis promisit fidelibus qui est benedictus in saecula saeculorum Amen,ells merexeran o guanyaran aquella pau eternal en la qual és subiran repòs lo qual ha promès als seus faels Nostre Senyor Déu qui és beneyt en tots los segles ço és eternament Amén,et delit incomparable laquele paix Dieu qui est benoit en ciel et en terre a promis a tous ses loiauz amis crestiens Si luy devons bien humblement priier que a ycelle nous doinst de sa grace participation Amen,como deuen es muy bien de les enseñar todas las maneras sobredichas de lidiar,þei schulle haue þat perpetual pees in þe whiche is cheef quiete and reste þe whiche pees God graunteþ and byhotek to his owne trewe seruantes þat is iblessed for eueremore Amen,e toda manera por que puedan vençer sus enemigos
FINIS,,,por que puedan tener todos sus cibdadanos en paz,,
